code	category	description	parent_code	general
T85.69	T85	Other mechanical complication of other specified internal prosthetic devices, implants and grafts	T85.6	f
T85.690	T85	Other mechanical complication of cranial or spinal infusion catheter	T85.69	f
T85.691	T85	Other mechanical complication of intraperitoneal dialysis catheter	T85.69	f
T85.692	T85	Other mechanical complication of permanent sutures	T85.69	f
T85.693	T85	Other mechanical complication of artificial skin graft and decellularized allodermis	T85.69	f
T85.694	T85	Other mechanical complication of insulin pump	T85.69	f
T85.695	T85	Other mechanical complication of other nervous system device, implant or graft	T85.69	f
T85.698	T85	Other mechanical complication of other specified internal prosthetic devices, implants and grafts	T85.69	f
T85.7	T85	Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts	T85	f
T85.71	T85	Infection and inflammatory reaction due to peritoneal dialysis catheter	T85.7	f
T85.72	T85	Infection and inflammatory reaction due to insulin pump	T85.7	f
T85.73	T85	Infection and inflammatory reaction due to nervous system devices, implants and graft	T85.7	f
T85.730	T85	Infection and inflammatory reaction due to ventricular intracranial (communicating) shunt	T85.73	f
T85.731	T85	Infection and inflammatory reaction due to implanted electronic neurostimulator of brain, electrode (lead)	T85.73	f
T85.732	T85	Infection and inflammatory reaction due to implanted electronic neurostimulator of peripheral nerve, electrode (lead)	T85.73	f
T85.733	T85	Infection and inflammatory reaction due to implanted electronic neurostimulator of spinal cord, electrode (lead)	T85.73	f
T85.734	T85	Infection and inflammatory reaction due to implanted electronic neurostimulator, generator	T85.73	f
T85.735	T85	Infection and inflammatory reaction due to cranial or spinal infusion catheter	T85.73	f
T85.738	T85	Infection and inflammatory reaction due to other nervous system device, implant or graft	T85.73	f
T85.79	T85	Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts	T85.7	f
T85.8	T85	Other specified complications of internal prosthetic devices, implants and grafts, not elsewhere classified	T85	f
T85.81	T85	Embolism due to internal prosthetic devices, implants and grafts, not elsewhere classified	T85.8	f
T85.810	T85	Embolism due to nervous system prosthetic devices, implants and grafts	T85.81	f
T85.818	T85	Embolism due to other internal prosthetic devices, implants and grafts	T85.81	f
T85.82	T85	Fibrosis due to internal prosthetic devices, implants and grafts, not elsewhere classified	T85.8	f
T85.820	T85	Fibrosis due to nervous system prosthetic devices, implants and grafts	T85.82	f
T85.828	T85	Fibrosis due to other internal prosthetic devices, implants and grafts	T85.82	f
T85.83	T85	Hemorrhage due to internal prosthetic devices, implants and grafts, not elsewhere classified	T85.8	f
T85.830	T85	Hemorrhage due to nervous system prosthetic devices, implants and grafts	T85.83	f
T85.838	T85	Hemorrhage due to other internal prosthetic devices, implants and grafts	T85.83	f
T85.84	T85	Pain due to internal prosthetic devices, implants and grafts, not elsewhere classified	T85.8	f
T85.840	T85	Pain due to nervous system prosthetic devices, implants and grafts	T85.84	f
T85.848	T85	Pain due to other internal prosthetic devices, implants and grafts	T85.84	f
T85.85	T85	Stenosis due to internal prosthetic devices, implants and grafts, not elsewhere classified	T85.8	f
T85.850	T85	Stenosis due to nervous system prosthetic devices, implants and grafts	T85.85	f
T85.858	T85	Stenosis due to other internal prosthetic devices, implants and grafts	T85.85	f
T85.86	T85	Thrombosis due to internal prosthetic devices, implants and grafts, not elsewhere classified	T85.8	f
T85.860	T85	Thrombosis due to nervous system prosthetic devices, implants and grafts	T85.86	f
T85.868	T85	Thrombosis due to other internal prosthetic devices, implants and grafts	T85.86	f
T85.89	T85	Other specified complication of internal prosthetic devices, implants and grafts, not elsewhere classified	T85.8	f
T85.890	T85	Other specified complication of nervous system prosthetic devices, implants and grafts	T85.89	f
T85.898	T85	Other specified complication of other internal prosthetic devices, implants and grafts	T85.89	f
T85.9	T85	Unspecified complication of internal prosthetic device, implant and graft	T85	t
T86	T86	Complications of transplanted organs and tissue		f
T86.0	T86	Complications of bone marrow transplant	T86	f
T86.00	T86	Unspecified complication of bone marrow transplant	T86.0	t
T86.01	T86	Bone marrow transplant rejection	T86.0	f
T86.02	T86	Bone marrow transplant failure	T86.0	f
T86.03	T86	Bone marrow transplant infection	T86.0	f
T86.09	T86	Other complications of bone marrow transplant	T86.0	f
T86.1	T86	Complications of kidney transplant	T86	f
T86.10	T86	Unspecified complication of kidney transplant	T86.1	t
T86.11	T86	Kidney transplant rejection	T86.1	f
T86.12	T86	Kidney transplant failure	T86.1	f
T86.13	T86	Kidney transplant infection	T86.1	f
T86.19	T86	Other complication of kidney transplant	T86.1	f
T86.2	T86	Complications of heart transplant	T86	f
T86.20	T86	Unspecified complication of heart transplant	T86.2	t
T86.21	T86	Heart transplant rejection	T86.2	f
T86.22	T86	Heart transplant failure	T86.2	f
T86.23	T86	Heart transplant infection	T86.2	f
T86.29	T86	Other complications of heart transplant	T86.2	f
T86.290	T86	Cardiac allograft vasculopathy	T86.29	f
T86.298	T86	Other complications of heart transplant	T86.29	f
T86.3	T86	Complications of heart-lung transplant	T86	f
T86.30	T86	Unspecified complication of heart-lung transplant	T86.3	t
T86.31	T86	Heart-lung transplant rejection	T86.3	f
T86.32	T86	Heart-lung transplant failure	T86.3	f
T86.33	T86	Heart-lung transplant infection	T86.3	f
T86.39	T86	Other complications of heart-lung transplant	T86.3	f
T86.4	T86	Complications of liver transplant	T86	f
T86.40	T86	Unspecified complication of liver transplant	T86.4	t
T86.41	T86	Liver transplant rejection	T86.4	f
T86.42	T86	Liver transplant failure	T86.4	f
T86.43	T86	Liver transplant infection	T86.4	f
T86.49	T86	Other complications of liver transplant	T86.4	f
T86.5	T86	Complications of stem cell transplant	T86	f
T86.8	T86	Complications of other transplanted organs and tissues	T86	f
T86.81	T86	Complications of lung transplant	T86.8	f
T86.810	T86	Lung transplant rejection	T86.81	f
T86.811	T86	Lung transplant failure	T86.81	f
T86.812	T86	Lung transplant infection	T86.81	f
T86.818	T86	Other complications of lung transplant	T86.81	f
T86.819	T86	Unspecified complication of lung transplant	T86.81	t
T86.82	T86	Complications of skin graft (allograft) (autograft)	T86.8	f
T86.820	T86	Skin graft (allograft) rejection	T86.82	f
T86.821	T86	Skin graft (allograft) (autograft) failure	T86.82	f
T86.822	T86	Skin graft (allograft) (autograft) infection	T86.82	f
T86.828	T86	Other complications of skin graft (allograft) (autograft)	T86.82	f
T86.829	T86	Unspecified complication of skin graft (allograft) (autograft)	T86.82	t
T86.83	T86	Complications of bone graft	T86.8	f
T86.830	T86	Bone graft rejection	T86.83	f
T86.831	T86	Bone graft failure	T86.83	f
T86.832	T86	Bone graft infection	T86.83	f
T86.838	T86	Other complications of bone graft	T86.83	f
T86.839	T86	Unspecified complication of bone graft	T86.83	t
T86.84	T86	Complications of corneal transplant	T86.8	f
T86.840	T86	Corneal transplant rejection	T86.84	f
T86.8401	T86	Corneal transplant rejection, right eye	T86.840	f
T86.8402	T86	Corneal transplant rejection, left eye	T86.840	f
T86.8403	T86	Corneal transplant rejection, bilateral	T86.840	f
T86.8409	T86	Corneal transplant rejection, unspecified eye	T86.840	t
T86.841	T86	Corneal transplant failure	T86.84	f
T86.8411	T86	Corneal transplant failure, right eye	T86.841	f
T86.8412	T86	Corneal transplant failure, left eye	T86.841	f
T86.8413	T86	Corneal transplant failure, bilateral	T86.841	f
T86.8419	T86	Corneal transplant failure, unspecified eye	T86.841	t
T86.842	T86	Corneal transplant infection	T86.84	f
T86.8421	T86	Corneal transplant infection, right eye	T86.842	f
T86.8422	T86	Corneal transplant infection, left eye	T86.842	f
T86.8423	T86	Corneal transplant infection, bilateral	T86.842	f
T86.8429	T86	Corneal transplant infection, unspecified eye	T86.842	t
T86.848	T86	Other complications of corneal transplant	T86.84	f
T86.8481	T86	Other complications of corneal transplant, right eye	T86.848	f
T86.8482	T86	Other complications of corneal transplant, left eye	T86.848	f
T86.8483	T86	Other complications of corneal transplant, bilateral	T86.848	f
T86.8489	T86	Other complications of corneal transplant, unspecified eye	T86.848	t
T86.849	T86	Unspecified complication of corneal transplant	T86.84	t
T86.8491	T86	Unspecified complication of corneal transplant, right eye	T86.849	t
T86.8492	T86	Unspecified complication of corneal transplant, left eye	T86.849	t
T86.8493	T86	Unspecified complication of corneal transplant, bilateral	T86.849	t
T86.8499	T86	Unspecified complication of corneal transplant, unspecified eye	T86.849	t
T86.85	T86	Complication of intestine transplant	T86.8	f
T86.850	T86	Intestine transplant rejection	T86.85	f
T86.851	T86	Intestine transplant failure	T86.85	f
T86.852	T86	Intestine transplant infection	T86.85	f
T86.858	T86	Other complications of intestine transplant	T86.85	f
T86.859	T86	Unspecified complication of intestine transplant	T86.85	t
T86.89	T86	Complications of other transplanted tissue	T86.8	f
T86.890	T86	Other transplanted tissue rejection	T86.89	f
T86.891	T86	Other transplanted tissue failure	T86.89	f
T86.892	T86	Other transplanted tissue infection	T86.89	f
T86.898	T86	Other complications of other transplanted tissue	T86.89	f
T86.899	T86	Unspecified complication of other transplanted tissue	T86.89	t
T86.9	T86	Complication of unspecified transplanted organ and tissue	T86	t
T86.90	T86	Unspecified complication of unspecified transplanted organ and tissue	T86.9	t
T86.91	T86	Unspecified transplanted organ and tissue rejection	T86.9	t
T86.92	T86	Unspecified transplanted organ and tissue failure	T86.9	t
T86.93	T86	Unspecified transplanted organ and tissue infection	T86.9	t
T86.99	T86	Other complications of unspecified transplanted organ and tissue	T86.9	t
T87	T87	Complications peculiar to reattachment and amputation		f
T87.0	T87	Complications of reattached (part of) upper extremity	T87	f
T87.0X	T87	Complications of reattached (part of) upper extremity	T87.0	f
T87.0X1	T87	Complications of reattached (part of) right upper extremity	T87.0X	f
T87.0X2	T87	Complications of reattached (part of) left upper extremity	T87.0X	f
T87.0X9	T87	Complications of reattached (part of) unspecified upper extremity	T87.0X	t
T87.1	T87	Complications of reattached (part of) lower extremity	T87	f
T87.1X	T87	Complications of reattached (part of) lower extremity	T87.1	f
T87.1X1	T87	Complications of reattached (part of) right lower extremity	T87.1X	f
T87.1X2	T87	Complications of reattached (part of) left lower extremity	T87.1X	f
T87.1X9	T87	Complications of reattached (part of) unspecified lower extremity	T87.1X	t
T87.2	T87	Complications of other reattached body part	T87	f
T87.3	T87	Neuroma of amputation stump	T87	f
T87.30	T87	Neuroma of amputation stump, unspecified extremity	T87.3	t
T87.31	T87	Neuroma of amputation stump, right upper extremity	T87.3	f
T87.32	T87	Neuroma of amputation stump, left upper extremity	T87.3	f
T87.33	T87	Neuroma of amputation stump, right lower extremity	T87.3	f
T87.34	T87	Neuroma of amputation stump, left lower extremity	T87.3	f
T87.4	T87	Infection of amputation stump	T87	f
T87.40	T87	Infection of amputation stump, unspecified extremity	T87.4	t
T87.41	T87	Infection of amputation stump, right upper extremity	T87.4	f
T87.42	T87	Infection of amputation stump, left upper extremity	T87.4	f
T87.43	T87	Infection of amputation stump, right lower extremity	T87.4	f
T87.44	T87	Infection of amputation stump, left lower extremity	T87.4	f
T87.5	T87	not elsewhere classifiedrosis of amputation stump	T87	f
T87.50	T87	not elsewhere classifiedrosis of amputation stump, unspecified extremity	T87.5	t
T87.51	T87	not elsewhere classifiedrosis of amputation stump, right upper extremity	T87.5	f
T87.52	T87	not elsewhere classifiedrosis of amputation stump, left upper extremity	T87.5	f
T87.53	T87	not elsewhere classifiedrosis of amputation stump, right lower extremity	T87.5	f
T87.54	T87	not elsewhere classifiedrosis of amputation stump, left lower extremity	T87.5	f
T87.8	T87	Other complications of amputation stump	T87	f
T87.81	T87	Dehiscence of amputation stump	T87.8	f
T87.89	T87	Other complications of amputation stump	T87.8	f
T87.9	T87	Unspecified complications of amputation stump	T87	t
T88	T88	Other complications of surgical and medical care, not elsewhere classified		f
T88.0	T88	Infection following immunization	T88	f
T88.1	T88	Other complications following immunization, not elsewhere classified	T88	f
T88.2	T88	Shock due to anesthesia	T88	f
T88.3	T88	Malignant hyperthermia due to anesthesia	T88	f
T88.4	T88	Failed or difficult intubation	T88	f
T88.5	T88	Other complications of anesthesia	T88	f
T88.51	T88	Hypothermia following anesthesia	T88.5	f
T88.52	T88	Failed moderate sedation during procedure	T88.5	f
T88.53	T88	Unintended awareness under general anesthesia during procedure	T88.5	f
T88.59	T88	Other complications of anesthesia	T88.5	f
T88.6	T88	Anaphylactic reaction due to adverse effect of correct drug or medicament properly administered	T88	f
T88.7	T88	Unspecified adverse effect of drug or medicament	T88	t
T88.8	T88	Other specified complications of surgical and medical care, not elsewhere classified	T88	f
T88.9	T88	Complication of surgical and medical care, unspecified	T88	t
V00	V00	Pedestrian conveyance accident		f
V00.0	V00	Pedestrian on foot injured in collision with pedestrian conveyance	V00	f
V00.01	V00	Pedestrian on foot injured in collision with roller-skater	V00.0	f
V00.02	V00	Pedestrian on foot injured in collision with skateboarder	V00.0	f
V00.03	V00	Pedestrian on foot injured in collision with standing micro-mobility pedestrian conveyance	V00.0	f
V00.031	V00	Pedestrian on foot injured in collision with rider of standing electric scooter	V00.03	f
V00.038	V00	Pedestrian on foot injured in collision with rider of other standing micro-mobility pedestrian conveyance	V00.03	f
V00.09	V00	Pedestrian on foot injured in collision with other pedestrian conveyance	V00.0	f
V00.1	V00	Rolling-type pedestrian conveyance accident	V00	f
V00.11	V00	In-line roller-skate accident	V00.1	f
V00.111	V00	Fall from in-line roller-skates	V00.11	f
V00.112	V00	In-line roller-skater colliding with stationary object	V00.11	f
V00.118	V00	Other in-line roller-skate accident	V00.11	f
V00.12	V00	Non-in- line roller-skate accident	V00.1	f
V00.121	V00	Fall from non-in-line roller-skates	V00.12	f
V00.122	V00	Non-in-line roller-skater colliding with stationary object	V00.12	f
V00.128	V00	Other non-in-line roller-skating accident	V00.12	f
V00.13	V00	Skateboard accident	V00.1	f
V00.131	V00	Fall from skateboard	V00.13	f
V00.132	V00	Skateboarder colliding with stationary object	V00.13	f
V00.138	V00	Other skateboard accident	V00.13	f
V00.14	V00	Scooter (nonmotorized) accident	V00.1	f
V00.141	V00	Fall from scooter (nonmotorized)	V00.14	f
V00.142	V00	Scooter (nonmotorized) colliding with stationary object	V00.14	f
V00.148	V00	Other scooter (nonmotorized) accident	V00.14	f
V00.15	V00	Heelies accident	V00.1	f
V00.151	V00	Fall from heelies	V00.15	f
V00.152	V00	Heelies colliding with stationary object	V00.15	f
V00.158	V00	Other heelies accident	V00.15	f
V00.18	V00	Accident on other rolling-type pedestrian conveyance	V00.1	f
V00.181	V00	Fall from other rolling-type pedestrian conveyance	V00.18	f
V00.182	V00	Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object	V00.18	f
V00.188	V00	Other accident on other rolling-type pedestrian conveyance	V00.18	f
V00.2	V00	Gliding-type pedestrian conveyance accident	V00	f
V00.21	V00	Ice-skates accident	V00.2	f
V00.211	V00	Fall from ice-skates	V00.21	f
V00.212	V00	Ice-skater colliding with stationary object	V00.21	f
V00.218	V00	Other ice-skates accident	V00.21	f
V00.22	V00	Sled accident	V00.2	f
V00.221	V00	Fall from sled	V00.22	f
V00.222	V00	Sledder colliding with stationary object	V00.22	f
V00.228	V00	Other sled accident	V00.22	f
V00.28	V00	Other gliding-type pedestrian conveyance accident	V00.2	f
V00.281	V00	Fall from other gliding-type pedestrian conveyance	V00.28	f
V00.282	V00	Pedestrian on other gliding-type pedestrian conveyance colliding with stationary object	V00.28	f
V00.288	V00	Other accident on other gliding-type pedestrian conveyance	V00.28	f
V00.3	V00	Flat-bottomed pedestrian conveyance accident	V00	f
V00.31	V00	Snowboard accident	V00.3	f
V00.311	V00	Fall from snowboard	V00.31	f
V00.312	V00	Snowboarder colliding with stationary object	V00.31	f
V00.318	V00	Other snowboard accident	V00.31	f
V00.32	V00	Snow-ski accident	V00.3	f
V00.321	V00	Fall from snow-skis	V00.32	f
V00.322	V00	Snow-skier colliding with stationary object	V00.32	f
V00.328	V00	Other snow-ski accident	V00.32	f
V00.38	V00	Other flat-bottomed pedestrian conveyance accident	V00.3	f
V00.381	V00	Fall from other flat-bottomed pedestrian conveyance	V00.38	f
V00.382	V00	Pedestrian on other flat-bottomed pedestrian conveyance colliding with stationary object	V00.38	f
V00.388	V00	Other accident on other flat-bottomed pedestrian conveyance	V00.38	f
V00.8	V00	Accident on other pedestrian conveyance	V00	f
V00.81	V00	Accident with wheelchair (powered)	V00.8	f
V00.811	V00	Fall from moving wheelchair (powered)	V00.81	f
V00.812	V00	Wheelchair (powered) colliding with stationary object	V00.81	f
V00.818	V00	Other accident with wheelchair (powered)	V00.81	f
V00.82	V00	Accident with baby stroller	V00.8	f
V00.821	V00	Fall from baby stroller	V00.82	f
V00.822	V00	Baby stroller colliding with stationary object	V00.82	f
V00.828	V00	Other accident with baby stroller	V00.82	f
V00.83	V00	Accident with motorized mobility scooter	V00.8	f
V00.831	V00	Fall from motorized mobility scooter	V00.83	f
V00.832	V00	Motorized mobility scooter colliding with stationary object	V00.83	f
V00.838	V00	Other accident with motorized mobility scooter	V00.83	f
V00.84	V00	Accident with standing micro-mobility pedestrian conveyance	V00.8	f
V00.841	V00	Fall from standing electric scooter	V00.84	f
V00.842	V00	Pedestrian on standing electric scooter colliding with stationary object	V00.84	f
V00.848	V00	Other accident with standing micro-mobility pedestrian conveyance	V00.84	f
V00.89	V00	Accident on other pedestrian conveyance	V00.8	f
V00.891	V00	Fall from other pedestrian conveyance	V00.89	f
V00.892	V00	Pedestrian on other pedestrian conveyance colliding with stationary object	V00.89	f
V00.898	V00	Other accident on other pedestrian conveyance	V00.89	f
V01	V01	Pedestrian injured in collision with pedal cycle		f
V01.0	V01	Pedestrian injured in collision with pedal cycle in nontraffic accident	V01	f
V01.00	V01	Pedestrian on foot injured in collision with pedal cycle in nontraffic accident	V01.0	f
V01.01	V01	Pedestrian on roller-skates injured in collision with pedal cycle in nontraffic accident	V01.0	f
V01.02	V01	Pedestrian on skateboard injured in collision with pedal cycle in nontraffic accident	V01.0	f
V01.03	V01	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with pedal cycle in nontraffic accident	V01.0	f
V01.031	V01	Pedestrian on standing electric scooter injured in collision with pedal cycle in nontraffic accident	V01.03	f
V01.038	V01	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with pedal cycle in nontraffic accident	V01.03	f
V01.09	V01	Pedestrian with other conveyance injured in collision with pedal cycle in nontraffic accident	V01.0	f
V01.1	V01	Pedestrian injured in collision with pedal cycle in traffic accident	V01	f
V01.10	V01	Pedestrian on foot injured in collision with pedal cycle in traffic accident	V01.1	f
V01.11	V01	Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident	V01.1	f
V01.12	V01	Pedestrian on skateboard injured in collision with pedal cycle in traffic accident	V01.1	f
V01.13	V01	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with pedal cycle in traffic accident	V01.1	f
V01.131	V01	Pedestrian on standing electric scooter injured in collision with pedal cycle in traffic accident	V01.13	f
V01.138	V01	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with pedal cycle in traffic accident	V01.13	f
V01.19	V01	Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident	V01.1	f
V01.9	V01	Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident	V01	t
V01.90	V01	Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident	V01.9	t
V01.91	V01	Pedestrian on roller-skates injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident	V01.9	t
V01.92	V01	Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident	V01.9	t
V01.93	V01	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident	V01.9	t
V01.931	V01	Pedestrian on standing electric scooter injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident	V01.93	t
V01.938	V01	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident	V01.93	t
V01.99	V01	Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident	V01.9	t
V02	V02	Pedestrian injured in collision with two- or three-wheeled motor vehicle		f
V02.0	V02	Pedestrian injured in collision with two- or three-wheeled motor vehicle in nontraffic accident	V02	f
V02.00	V02	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident	V02.0	f
V02.01	V02	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in nontraffic accident	V02.0	f
V02.02	V02	Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in nontraffic accident	V02.0	f
V02.03	V02	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident	V02.0	f
V02.031	V02	Pedestrian on standing electric scooter injured in collision with two- or three-wheeled motor vehicle in nontraffic accident	V02.03	f
V02.038	V02	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident	V02.03	f
V02.09	V02	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident	V02.0	f
V02.1	V02	Pedestrian injured in collision with two- or three-wheeled motor vehicle in traffic accident	V02	f
V02.10	V02	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident	V02.1	f
V02.11	V02	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident	V02.1	f
V02.12	V02	Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in traffic accident	V02.1	f
V02.13	V02	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident	V02.1	f
V02.131	V02	Pedestrian on standing electric scooter injured in collision with two- or three-wheeled motor vehicle in traffic accident	V02.13	f
V02.138	V02	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident	V02.13	f
V02.19	V02	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident	V02.1	f
V02.9	V02	Pedestrian injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident	V02	t
V02.90	V02	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident	V02.9	t
V02.91	V02	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident	V02.9	t
V02.92	V02	Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident	V02.9	t
V02.93	V02	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident	V02.9	t
V14.9	V14	Unspecified pedal cyclist injured in collision with heavy transport vehicle or bus in traffic accident	V14	t
V02.931	V02	Pedestrian on standing electric scooter injured in collision with two- or three wheeled motor vehicle, unspecified whether traffic or nontraffic accident	V02.93	t
V02.938	V02	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with two- or three wheeled motor vehicle, unspecified whether traffic or nontraffic accident	V02.93	t
V02.99	V02	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident	V02.9	t
V03	V03	Pedestrian injured in collision with car, pick-up truck or van		f
V03.0	V03	Pedestrian injured in collision with car, pick-up truck or van in nontraffic accident	V03	f
V03.00	V03	Pedestrian on foot injured in collision with car, pick-up truck or van in nontraffic accident	V03.0	f
V03.01	V03	Pedestrian on roller-skates injured in collision with car, pick-up truck or van in nontraffic accident	V03.0	f
V03.02	V03	Pedestrian on skateboard injured in collision with car, pick-up truck or van in nontraffic accident	V03.0	f
V03.03	V03	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with car, pick-up or van in nontraffic accident	V03.0	f
V03.031	V03	Pedestrian on standing electric scooter injured in collision with car, pick-up or van in nontraffic accident	V03.03	f
V03.038	V03	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with car, pick-up or van in nontraffic accident	V03.03	f
V03.09	V03	Pedestrian with other conveyance injured in collision with car, pick-up truck or van in nontraffic accident	V03.0	f
V03.1	V03	Pedestrian injured in collision with car, pick-up truck or van in traffic accident	V03	f
V03.10	V03	Pedestrian on foot injured in collision with car, pick-up truck or van in traffic accident	V03.1	f
V03.11	V03	Pedestrian on roller-skates injured in collision with car, pick-up truck or van in traffic accident	V03.1	f
V03.12	V03	Pedestrian on skateboard injured in collision with car, pick-up truck or van in traffic accident	V03.1	f
V03.13	V03	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with car, pick-up or van in traffic accident	V03.1	f
V03.131	V03	Pedestrian on standing electric scooter injured in collision with car, pick-up or van in traffic accident	V03.13	f
V03.138	V03	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with car, pick-up or van in traffic accident	V03.13	f
V03.19	V03	Pedestrian with other conveyance injured in collision with car, pick-up truck or van in traffic accident	V03.1	f
V03.9	V03	Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident	V03	t
V03.90	V03	Pedestrian on foot injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident	V03.9	t
V03.91	V03	Pedestrian on roller-skates injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident	V03.9	t
V03.92	V03	Pedestrian on skateboard injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident	V03.9	t
V03.93	V03	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with car, pick-up or van, unspecified whether traffic or nontraffic accident	V03.9	t
V03.931	V03	Pedestrian on standing electric scooter injured in collision with car, pick-up or van, unspecified whether traffic or nontraffic accident	V03.93	t
V03.938	V03	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with car, pick-up or van, unspecified whether traffic or nontraffic accident	V03.93	t
V03.99	V03	Pedestrian with other conveyance injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident	V03.9	t
V04	V04	Pedestrian injured in collision with heavy transport vehicle or bus		f
V04.0	V04	Pedestrian injured in collision with heavy transport vehicle or bus in nontraffic accident	V04	f
V04.00	V04	Pedestrian on foot injured in collision with heavy transport vehicle or bus in nontraffic accident	V04.0	f
V04.01	V04	Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in nontraffic accident	V04.0	f
V04.02	V04	Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in nontraffic accident	V04.0	f
V04.03	V04	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with heavy transport vehicle or bus in nontraffic accident	V04.0	f
V04.031	V04	Pedestrian on standing electric scooter injured in collision with heavy transport vehicle or bus in nontraffic accident	V04.03	f
V04.038	V04	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with heavy transport vehicle or bus in nontraffic accident	V04.03	f
V04.09	V04	Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in nontraffic accident	V04.0	f
V04.1	V04	Pedestrian injured in collision with heavy transport vehicle or bus in traffic accident	V04	f
V04.10	V04	Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident	V04.1	f
V04.11	V04	Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in traffic accident	V04.1	f
V04.12	V04	Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in traffic accident	V04.1	f
V04.13	V04	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with heavy transport vehicle or bus in traffic accident	V04.1	f
V04.131	V04	Pedestrian on standing electric scooter injured in collision with heavy transport vehicle or bus in traffic accident	V04.13	f
V04.138	V04	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with heavy transport vehicle or bus in traffic accident	V04.13	f
V04.19	V04	Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in traffic accident	V04.1	f
V04.9	V04	Pedestrian injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident	V04	t
V04.90	V04	Pedestrian on foot injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident	V04.9	t
