category	section	description
W12	W00-W19	Fall on and from scaffolding
W13	W00-W19	Fall from, out of or through building or structure
W14	W00-W19	Fall from tree
W15	W00-W19	Fall from cliff
W16	W00-W19	Fall, jump or diving into water
W17	W00-W19	Other fall from one level to another
W18	W00-W19	Other slipping, tripping and stumbling and falls
W19	W00-W19	Unspecified fall
W20	W20-W49	Struck by thrown, projected or falling object
W21	W20-W49	Striking against or struck by sports equipment
W22	W20-W49	Striking against or struck by other objects
W23	W20-W49	Caught, crushed, jammed or pinched in or between objects
W24	W20-W49	Contact with lifting and transmission devices, not elsewhere classified
W25	W20-W49	Contact with sharp glass
W26	W20-W49	Contact with other sharp objects
W27	W20-W49	Contact with nonpowered hand tool
W28	W20-W49	Contact with powered lawn mower
W29	W20-W49	Contact with other powered hand tools and household machinery
W30	W20-W49	Contact with agricultural machinery
W31	W20-W49	Contact with other and unspecified machinery
W32	W20-W49	Accidental handgun discharge and malfunction
W33	W20-W49	Accidental rifle, shotgun and larger firearm discharge and malfunction
W34	W20-W49	Accidental discharge and malfunction from other and unspecified firearms and guns
W35	W20-W49	Explosion and rupture of boiler
W36	W20-W49	Explosion and rupture of gas cylinder
W37	W20-W49	Explosion and rupture of pressurized tire, pipe or hose
W38	W20-W49	Explosion and rupture of other specified pressurized devices
W39	W20-W49	Discharge of firework
W40	W20-W49	Explosion of other materials
W42	W20-W49	Exposure to noise
W44	W20-W49	Foreign body entering into or through a natural orifice
W45	W20-W49	Foreign body or object entering through skin
W46	W20-W49	Contact with hypodermic needle
W49	W20-W49	Exposure to other inanimate mechanical forces
W50	W50-W64	Accidental hit, strike, kick, twist, bite or scratch by another person
W51	W50-W64	Accidental striking against or bumped into by another person
W52	W50-W64	Crushed, pushed or stepped on by crowd or human stampede
W53	W50-W64	Contact with rodent
W54	W50-W64	Contact with dog
W55	W50-W64	Contact with other mammals
W56	W50-W64	Contact with nonvenomous marine animal
W57	W50-W64	Bitten or stung by nonvenomous insect and other nonvenomous arthropods
W58	W50-W64	Contact with crocodile or alligator
W59	W50-W64	Contact with other nonvenomous reptiles
W60	W50-W64	Contact with nonvenomous plant thorns and spines and sharp leaves
W61	W50-W64	Contact with birds (domestic) (wild)
W62	W50-W64	Contact with nonvenomous amphibians
W64	W50-W64	Exposure to other animate mechanical forces
W65	W65-W74	Accidental drowning and submersion while in bath-tub
W67	W65-W74	Accidental drowning and submersion while in swimming-pool
W69	W65-W74	Accidental drowning and submersion while in natural water
W73	W65-W74	Other specified cause of accidental non-transport drowning and submersion
W74	W65-W74	Unspecified cause of accidental drowning and submersion
W85	W85-W99	Exposure to electric transmission lines
W86	W85-W99	Exposure to other specified electric current
W88	W85-W99	Exposure to ionizing radiation
W89	W85-W99	Exposure to man-made visible and ultraviolet light
W90	W85-W99	Exposure to other nonionizing radiation
W92	W85-W99	Exposure to excessive heat of man-made origin
W93	W85-W99	Exposure to excessive cold of man-made origin
W94	W85-W99	Exposure to high and low air pressure and changes in air pressure
W99	W85-W99	Exposure to other man-made environmental factors
X00	X00-X08	Exposure to uncontrolled fire in building or structure
X01	X00-X08	Exposure to uncontrolled fire, not in building or structure
X02	X00-X08	Exposure to controlled fire in building or structure
X03	X00-X08	Exposure to controlled fire, not in building or structure
X04	X00-X08	Exposure to ignition of highly flammable material
X05	X00-X08	Exposure to ignition or melting of nightwear
X06	X00-X08	Exposure to ignition or melting of other clothing and apparel
X08	X00-X08	Exposure to other specified smoke, fire and flames
X10	X10-X19	Contact with hot drinks, food, fats and cooking oils
X11	X10-X19	Contact with hot tap-water
X12	X10-X19	Contact with other hot fluids
X13	X10-X19	Contact with steam and other hot vapors
X14	X10-X19	Contact with hot air and other hot gases
X15	X10-X19	Contact with hot household appliances
X16	X10-X19	Contact with hot heating appliances, radiators and pipes
X17	X10-X19	Contact with hot engines, machinery and tools
X18	X10-X19	Contact with other hot metals
X19	X10-X19	Contact with other heat and hot substances
X30	X30-X39	Exposure to excessive natural heat
X31	X30-X39	Exposure to excessive natural cold
X32	X30-X39	Exposure to sunlight
X34	X30-X39	Earthquake
X35	X30-X39	Volcanic eruption
X36	X30-X39	Avalanche, landslide and other earth movements
X37	X30-X39	Cataclysmic storm
X38	X30-X39	Flood
X39	X30-X39	Exposure to other forces of nature
X50	X50	Overexertion and strenuous or repetitive movements
X52	X52-X58	Prolonged stay in weightless environment
X58	X52-X58	Exposure to other specified factors
X71	X71-X83	Intentional self-harm by drowning and submersion
X72	X71-X83	Intentional self-harm by handgun discharge
X73	X71-X83	Intentional self-harm by rifle, shotgun and larger firearm discharge
X74	X71-X83	Intentional self-harm by other and unspecified firearm and gun discharge
X75	X71-X83	Intentional self-harm by explosive material
X76	X71-X83	Intentional self-harm by smoke, fire and flames
X77	X71-X83	Intentional self-harm by steam, hot vapors and hot objects
X78	X71-X83	Intentional self-harm by sharp object
X79	X71-X83	Intentional self-harm by blunt object
X80	X71-X83	Intentional self-harm by jumping from a high place
X81	X71-X83	Intentional self-harm by jumping or lying in front of moving object
X82	X71-X83	Intentional self-harm by crashing of motor vehicle
X83	X71-X83	Intentional self-harm by other specified means
X92	X92-Y09	Assault by drowning and submersion
X93	X92-Y09	Assault by handgun discharge
X94	X92-Y09	Assault by rifle, shotgun and larger firearm discharge
X95	X92-Y09	Assault by other and unspecified firearm and gun discharge
X96	X92-Y09	Assault by explosive material
X97	X92-Y09	Assault by smoke, fire and flames
X98	X92-Y09	Assault by steam, hot vapors and hot objects
X99	X92-Y09	Assault by sharp object
Y00	X92-Y09	Assault by blunt object
Y01	X92-Y09	Assault by pushing from high place
Y02	X92-Y09	Assault by pushing or placing victim in front of moving object
Y03	X92-Y09	Assault by crashing of motor vehicle
Y04	X92-Y09	Assault by bodily force
Y07	X92-Y09	Perpetrator of assault, maltreatment and neglect
Y08	X92-Y09	Assault by other specified means
Y09	X92-Y09	Assault by unspecified means
Y21	Y21-Y33	Drowning and submersion, undetermined intent
Y22	Y21-Y33	Handgun discharge, undetermined intent
Y23	Y21-Y33	Rifle, shotgun and larger firearm discharge, undetermined intent
Y24	Y21-Y33	Other and unspecified firearm discharge, undetermined intent
Y25	Y21-Y33	Contact with explosive material, undetermined intent
Y26	Y21-Y33	Exposure to smoke, fire and flames, undetermined intent
Y27	Y21-Y33	Contact with steam, hot vapors and hot objects, undetermined intent
Y28	Y21-Y33	Contact with sharp object, undetermined intent
Y29	Y21-Y33	Contact with blunt object, undetermined intent
Y30	Y21-Y33	Falling, jumping or pushed from a high place, undetermined intent
Y31	Y21-Y33	Falling, lying or running before or into moving object, undetermined intent
Y32	Y21-Y33	Crashing of motor vehicle, undetermined intent
Y33	Y21-Y33	Other specified events, undetermined intent
Y35	Y35-Y38	Legal intervention
Y36	Y35-Y38	Operations of war
Y37	Y35-Y38	Military operations
Y38	Y35-Y38	Terrorism
Y62	Y62-Y69	Failure of sterile precautions during surgical and medical care
Y63	Y62-Y69	Failure in dosage during surgical and medical care
Y64	Y62-Y69	Contaminated medical or biological substances
Y65	Y62-Y69	Other misadventures during surgical and medical care
Y66	Y62-Y69	Nonadministration of surgical and medical care
Y69	Y62-Y69	Unspecified misadventure during surgical and medical care
Y70	Y70-Y82	Anesthesiology devices associated with adverse incidents
Y71	Y70-Y82	Cardiovascular devices associated with adverse incidents
Y72	Y70-Y82	Otorhinolaryngological devices associated with adverse incidents
Y73	Y70-Y82	Gastroenterology and urology devices associated with adverse incidents
Y74	Y70-Y82	General hospital and personal-use devices associated with adverse incidents
Y75	Y70-Y82	Neurological devices associated with adverse incidents
Y76	Y70-Y82	Obstetric and gynecological devices associated with adverse incidents
Y77	Y70-Y82	Ophthalmic devices associated with adverse incidents
Y78	Y70-Y82	Radiological devices associated with adverse incidents
Y79	Y70-Y82	Orthopedic devices associated with adverse incidents
Y80	Y70-Y82	Physical medicine devices associated with adverse incidents
Y81	Y70-Y82	General- and plastic-surgery devices associated with adverse incidents
Y82	Y70-Y82	Other and unspecified medical devices associated with adverse incidents
Y83	Y83-Y84	Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
Y84	Y83-Y84	Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
Y90	Y90-Y99	Evidence of alcohol involvement determined by blood alcohol level
Y92	Y90-Y99	Place of occurrence of the external cause
Y93	Y90-Y99	Activity codes
Y95	Y90-Y99	Nosocomial condition
Y99	Y90-Y99	External cause status
Z00	Z00-Z13	Encounter for general examination without complaint, suspected or reported diagnosis
Z01	Z00-Z13	Encounter for other special examination without complaint, suspected or reported diagnosis
Z02	Z00-Z13	Encounter for administrative examination
Z03	Z00-Z13	Encounter for medical observation for suspected diseases and conditions ruled out
Z04	Z00-Z13	Encounter for examination and observation for other reasons
Z05	Z00-Z13	Encounter for observation and evaluation of newborn for suspected diseases and conditions ruled out
Z08	Z00-Z13	Encounter for follow-up examination after completed treatment for malignant neoplasm
Z09	Z00-Z13	Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm
Z11	Z00-Z13	Encounter for screening for infectious and parasitic diseases
Z12	Z00-Z13	Encounter for screening for malignant neoplasms
Z13	Z00-Z13	Encounter for screening for other diseases and disorders
Z14	Z14-Z15	Genetic carrier
Z15	Z14-Z15	Genetic susceptibility to disease
Z16	Z16	Resistance to antimicrobial drugs
Z17	Z17	Estrogen receptor status
Z18	Z18	Retained foreign body fragments
Z19	Z19	Hormone sensitivity malignancy status
Z20	Z20-Z29	Contact with and (suspected) exposure to communicable diseases
Z21	Z20-Z29	Asymptomatic human immunodeficiency virus [HIV] infection status
Z22	Z20-Z29	Carrier of infectious disease
Z23	Z20-Z29	Encounter for immunization
Z28	Z20-Z29	Immunization not carried out and underimmunization status
Z29	Z20-Z29	Encounter for other prophylactic measures
Z30	Z30-Z39	Encounter for contraceptive management
Z31	Z30-Z39	Encounter for procreative management
Z32	Z30-Z39	Encounter for pregnancy test and childbirth and childcare instruction
Z33	Z30-Z39	Pregnant state
Z34	Z30-Z39	Encounter for supervision of normal pregnancy
Z36	Z30-Z39	Encounter for antenatal screening of mother
Z3A	Z30-Z39	Weeks of gestation
Z37	Z30-Z39	Outcome of delivery
Z38	Z30-Z39	Liveborn infants according to place of birth and type of delivery
Z39	Z30-Z39	Encounter for maternal postpartum care and examination
Z40	Z40-Z53	Encounter for prophylactic surgery
Z41	Z40-Z53	Encounter for procedures for purposes other than remedying health state
Z42	Z40-Z53	Encounter for plastic and reconstructive surgery following medical procedure or healed injury
Z43	Z40-Z53	Encounter for attention to artificial openings
Z44	Z40-Z53	Encounter for fitting and adjustment of external prosthetic device
Z45	Z40-Z53	Encounter for adjustment and management of implanted device
Z46	Z40-Z53	Encounter for fitting and adjustment of other devices
Z47	Z40-Z53	Orthopedic aftercare
Z48	Z40-Z53	Encounter for other postprocedural aftercare
Z49	Z40-Z53	Encounter for care involving renal dialysis
Z51	Z40-Z53	Encounter for other aftercare and medical care
Z52	Z40-Z53	Donors of organs and tissues
Z53	Z40-Z53	Persons encountering health services for specific procedures and treatment, not carried out
Z55	Z55-Z65	Problems related to education and literacy
Z56	Z55-Z65	Problems related to employment and unemployment
Z57	Z55-Z65	Occupational exposure to risk factors
Z58	Z55-Z65	Problems related to physical environment
Z59	Z55-Z65	Problems related to housing and economic circumstances
Z60	Z55-Z65	Problems related to social environment
Z62	Z55-Z65	Problems related to upbringing
Z63	Z55-Z65	Other problems related to primary support group, including family circumstances
Z64	Z55-Z65	Problems related to certain psychosocial circumstances
Z65	Z55-Z65	Problems related to other psychosocial circumstances
Z66	Z66	Do not resuscitate
Z67	Z67	Blood type
Z68	Z68	Body mass index [BMI]
Z69	Z69-Z76	Encounter for mental health services for victim and perpetrator of abuse
Z70	Z69-Z76	Counseling related to sexual attitude, behavior and orientation
Z71	Z69-Z76	Persons encountering health services for other counseling and medical advice, not elsewhere classified
Z72	Z69-Z76	Problems related to lifestyle
Z73	Z69-Z76	Problems related to life management difficulty
Z74	Z69-Z76	Problems related to care provider dependency
Z75	Z69-Z76	Problems related to medical organizations and other health care
Z76	Z69-Z76	Persons encountering health services in other circumstances
Z77	Z77-Z99	Other contact with and (suspected) exposures hazardous to health
Z78	Z77-Z99	Other specified health status
Z79	Z77-Z99	Long term (current) drug therapy
Z80	Z77-Z99	Family history of primary malignant neoplasm
Z81	Z77-Z99	Family history of mental and behavioral disorders
Z82	Z77-Z99	Family history of certain disabilities and chronic diseases (leading to disablement)
Z83	Z77-Z99	Family history of other specific disorders
Z84	Z77-Z99	Family history of other conditions
Z85	Z77-Z99	Personal history of malignant neoplasm
Z86	Z77-Z99	Personal history of certain other diseases
Z87	Z77-Z99	Personal history of other diseases and conditions
Z88	Z77-Z99	Allergy status to drugs, medicaments and biological substances
Z89	Z77-Z99	Acquired absence of limb
Z90	Z77-Z99	Acquired absence of organs, not elsewhere classified
Z91	Z77-Z99	Personal risk factors, not elsewhere classified
Z92	Z77-Z99	Personal history of medical treatment
Z93	Z77-Z99	Artificial opening status
Z94	Z77-Z99	Transplanted organ and tissue status
Z95	Z77-Z99	Presence of cardiac and vascular implants and grafts
Z96	Z77-Z99	Presence of other functional implants
Z97	Z77-Z99	Presence of other devices
Z98	Z77-Z99	Other postprocedural states
Z99	Z77-Z99	Dependence on enabling machines and devices, not elsewhere classified
U07	U00-U49	Emergency use of U07
U09	U00-U49	Post COVID-19 condition
