licence_number	name	licensee	address	pharmacies_types	town	expiry_date	
P01-P1685-2024	HEALTHEEZZ PHARMACY	HEALTHEEZZ PHARMACY (PVT) LTD	53 FIFE STREET	Pharmacy in any other location	BULAWAYO	12/31/2025	
P01-P1401-2024	HEALTHKINGS PHARMACY	CHARLES JANE INVESTMENTS (PVT) LTD	148 KINGS STREET	Pharmacy in any other location	GWANDA	09/30/2025	
P05-P1250-2024	HEALTHLINK PHARMACY	PENNYBACKER ENTERPRISES (PVT) LTD	157 CHINHOYI STREET	Pharmacy located in the CBD	HARARE	04/30/2025	
P05-P1947-2024	HEALTHLINK PHARMACY	PENNYBACKER ENTERPRISES (PVT) LTD	NO. 28 ROBERT MUGABE WAY	Pharmacy located in the CBD	HARARE	02/28/2025	
P01-P1275-2024	HEALTHLINK PHARMACY- KARIBA	PENNYBACKER ENTERPRISES (PVT) LTD	STAND 1781 NYAMHUNGA T/S	Pharmacy in any other location	KARIBA	05/31/2025	
P01-P1372-2024	HEALTHMATE PHARMACY	HEALTHMATE PHARMACY (PVT) LTD	STS 8721-23RD CRES WARREN PARK 2	Pharmacy in any other location	HARARE	07/31/2025	
P01-P1546-2024	HEALTHMODE AVONDALE PHARMACY	HEALTHMODE PHARMACY (PVT) LTD	60 BEDFORD ROAD AVONDALE	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1666-2024	HEALTHMODE PHARMACY	HEALTHMODE PHARMACY (PVT) LTD	"9 GLENARA AVENUE, HIGHLANDS"	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1549-2024	HEALTHMODE PHARMACY WESTGATE	HEALTHMODE PHARMACY (PVT) LTD	"951 ADYNN WESTGATE, SHOP 2"	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1289-2024	HEALTHPLAN PHARMACY	DOMBORAMWARI PHARMACY	3003 DOMBORAMWARI	Pharmacy in any other location	HARARE	03/31/2025	
P01-P1996-2024	HEALTHPLAN PHARMACY	DOMBORAMWARI PHARMACY (PVT) LTD	2028 ZINYENGERE EPWORTH	Pharmacy in any other location	HARARE	06/30/2025	
P06-P1797-2024	HEALTHPLAN PHARMACY	DOMBORAMWARI PHARMACY (PVT) LTD	48 CHAKONDA BUSINESS CENTRE	Pharmacy in rural area	SHAMVA	02/28/2025	
P02-P1310-2024	HEALTHPOINT HOSPITAL	STREASLEIGH INVESTMENTS (PVT) LTD	15 LANARK ROAD	Pharmacies: Restricted	HARARE	06/30/2025	
P05-P1653-2024	HEALTHRITE PHARMACY	HEALTHRITE PHARMACY (PVT) LTD	31 ROBERT MUGABE STREET	Pharmacy located in the CBD	KADOMA	01/31/2025	
P06-P1647-2024	HEALTHRITE PHARMACY	HEALTHRITE PHARMACY( PVT) LTD	"STAND 1971,"	Pharmacy in rural area	SANYATI	11/30/2025	
P01-P1785-2024	HEALTHRITE PHARMACY	HEALTHRITE PHARMACY (PVT) LTD	MAMINA GROWTH POINT MHONDORO	Pharmacy in any other location	NGEZI	12/31/2025	
P01-P1744-2024	HEALTHWISE PHARMACY	ROMEO RIAN PBC.	SHOP NO 6 P.G. COMPLEX	Pharmacy in any other location	KWEKWE	10/31/2025	
P01-P1319-2024	HIGHVIEW PHARMACY	ACANTO INVESTMENTS (PVT) LTD	730 OLD CANAAN HIGHFIELD	Pharmacy in any other location	HARARE	09/30/2025	
P01-P1720-2024	HIGHWAY PHARMACY	CRACHNOR INVESTMENT (PVT) LTD	169 QUEEN STREET	Pharmacy in any other location	CHEGUTU	03/31/2025	
I02-P0226-2024	HILBRE FARM CLINIC	INAMO AGRIC (PVT) LTD	HILBRE FARM	Clinics: Class B	DARWENDALE	04/30/2025	
P01-P1654-2024	HILLSIDE 24 PHARMACY	LEEMINEX (PVT) LTD	STAND 41337 CRN CHIREMBA RD & GLENARA HILLSISE	Pharmacy in any other location	HARARE	03/31/2025	
P01-P1209-2024	HILLSIDE PHARMACY	CURLEW CHEMICALS INDUSTRIES (PVT) LTD	2 ASHURST R0AD HILLSIDE	Pharmacy in any other location	BULAWAYO	09/30/2025	
I04-P0217-2024	HILLSIDE TEACHERS COLLEGE CLINIC	HILLSIDE TEACHERS COLLEGE	21 CECIL AVENUE	Clinics: Class D	BULAWAYO	09/30/2025	
P01-P1863-2024	HILTONS PHARMACY	ZION PHARMACEUTICALS (PVT) LTD	STD NO. 5129 SHOP 2 144 CHINHOYI ST	Pharmacy in any other location	HARARE	02/28/2025	
P05-P1522-2024	HILTONS PHARMACY	ZION PHARMACEUTICALS PVT LTD	"124 R. MUGABE RD, CNR 4TH STREET & R.MUGABE"	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1882-2024	HILTONS PHARMACY	ZION PHARMACEUTICALS (PVT) LTD	124 R. MUGABE RD CNR FOURTH ST & R.MUGABE RD	Pharmacy in any other location	HARARE	02/28/2025	
P05-P1729-2024	HILTONS PHARMACY	ZION PHARMACEUTICALS (PVT) LTD	"STAND 2172, 20 SPEKE AVENUE, SHOP A,"	Pharmacy located in the CBD	HARARE	07/31/2025	
P05-P1929-2024	HILTONS PHARMACY	ZION PHARMACEUTICALS (PVT) LTD	124 LEOPOLD TAKAWIRA STREET	Pharmacy located in the CBD	HARARE	08/31/2025	
P01-P1493-2024	HOBHOUSE PHARMACY	BUY RITE PHARMACIES (PVT) LTD	4070 HOBHOUSE	Pharmacy in any other location	MUTARE	02/28/2025	
P01-P1954-2024	HOMETOWN PHARMACY	EDGIRAY INVESTMENTS (PVT) LTD	SHOP 9 CNR ROBERT MUGABE & HERBERT CHITEPO	Pharmacy in any other location	RUSAPE	05/31/2025	
P01-P1889-2024	HONEY DEW PHARMACY	XECROHEAD PHARMACEUTICALS (PVT) LTD	16 GREENDALE AVENUE	Pharmacy in any other location	HARARE	12/31/2025	
P01-P1713-2024	HOUGHTON PARK PHARMACY	NEVERMIND ZIMBODZA	SHOP 3 HOUGHTON S/CENTRE	Pharmacy in any other location	HARARE	01/31/2025	
P01-P1714-2024	HP PHARMACY	SANTE-PLUS (PVT) LTD	SHOP NO. 4 TAURO TRAGUS CENTRE	Pharmacy in any other location	KWEKWE	02/28/2025	
I02-P0068-2023	HUMANA PEOPLE TO PEOPLE	HUMANA PEOPLE TO PEOPLE	"4 PALMER RD, MILTON PARK"	Clinics: Class B	HARARE	09/30/2024	
W01-P0190-2024	HURSMNT PHARMACEUTICALS	HURSMNT PRIVATE LIMITED	"SHOP 2 OLD MUTUAL COMPLEX, HIGHLEN,"	Wholesalers	HARARE	03/31/2025	
P01-P1492-2024	HUTANO KUVANHU PHARMACY	HUTANO KUVANHU (PVT) LTD	7046 ST JOSEPH CHIKANGA	Pharmacy in any other location	MUTARE	02/28/2025	
H01-P0029-2024	HWANGE COLLIERY HOSPITAL	HWANGE COLLIERY COMPANY LIMITED	HWANGE COLLIERY	Hospital pharmacies	HWANGE	04/30/2025	
I02-P0108-2023	HWANGE COLLIERY NO 1 CLINIC	HWANGE COLLIERY COMPANY LIMITED	HWANGE COLLIERY NO 1 CLINIC	Clinics: Class B	HWANGE	09/30/2024	
I02-P0107-2023	HWANGE COLLIERY NO 2 CLINIC	HWANGE COLLIERY COMPANY LIMITED	HWANGE COLLIERY NO 2 CLINIC	Clinics: Class B	HWANGE	09/30/2024	
I02-P0120-2023	HWANGE COLLIERY NO 3 CLINIC	HWANGE COLLIERY COMPANY LIMITED	HWANGE COLLIERY NO 3 CLINIC VILLAGE	Clinics: Class B	HWANGE	09/30/2024	
I03-P0065-2023	HWANGE NAT. PARKS MAIN CAMP CLINIC	PARKS & WILDLIFE MANAGEMENT AUTHORITY	HWANGE NATIONAL PARKS	Clinics: Class C	HWANGE	09/30/2024	
I02-P0097-2023	HWANGE SAFARI LODGE CLINIC	HWANGE SAFARI LODGE	HWANGE SAFARI LODGE	Clinics: Class C	DETE	09/30/2024	
P05-P1139-2024	ICON PHARMACY	ICON HEALTHCARE (PVT) LTD	DAUTH BUILDING 146 JOSIAH TONGOGARA	Pharmacy located in the CBD	MASVINGO	09/30/2025	
P04-P1171-2024	IMPACT PHARMACY	UNIVERSITY OF ZIMB. CLINICAL TRIALS RESEARCH CENT. (UZ-CTRC)	"15 PHILLIPS AVE,"	Pharmacies: Research	HARARE	02/28/2025	
P01-P1530-2024	IMPALI PHARMACY	IMPALI PHARMACY	806 GRANADILLA ROAD	Pharmacy in any other location	BINDURA	03/31/2025	
P05-P1902-2024	IMPILO PHARMACY	LANTSS INCORPORATED (PVT) LTD	"STD 2072, 23 JASON MOYO AVE"	Pharmacy located in the CBD	HARARE	09/30/2025	
P01-P1362-2024	INFINE FETTLE PHARMACY	INFINE FETTLE PHARMACY	13279 BUDIRIRO 5B	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1991-2024	INFINE FETTLE PHARMACY - GLEN NORAH	INFINE FETTLE PHARMACY (PVT) LTD	11355	Pharmacy in any other location	HARARE	02/28/2025	
I02-P0209-2024	INGAGULA CLINIC	ZIMBABWE POWER COMPANY	INGAGULA	Clinics: Class B	HWANGE	09/30/2024	
P01-P1716-2024	INGEZI PHARMACY	ETHANPHARM PHARMACEUTICALS (PVT) LTD	STD NO. 8528/29 NGEZI T/SHIP	Pharmacy in any other location	KADOMA	04/30/2025	
P01-P0425-2021	INNOVA PHARMACY	INNOVA HEALTHCARE(PVT) LTD	SHOP 2 CIVIC CENTRE COMPLEX MARLABOROUGH	Pharmacy in any other location	HARARE	02/28/2025	
P01-P0855-2023	INNOVA PHARMACY - CIVIC CENTRE	INNOVA HEALTHCARE (PVT) LTD	SHOP 9 CIVIC CENTRE COMPLEX MARLBOROUGH	Pharmacy in any other location	HARARE	10/31/2025	
P05-P1488-2024	INNOVIA PHARMACY	POWERMED INVESTMENTS (PVT) LTD	58 NELSON MANDELA STREET	Pharmacy located in the CBD	HARARE	02/28/2025	
P05-P1489-2024	INNOVIA PHARMACY	POWERMED INVESTMENTS (PVT) LTD	58 NELSON MANDELA STREET	Pharmacy located in the CBD	HARARE	02/28/2025	
I02-P0123-2023	INNSCOR WELLNESS CENTRE	INNSCOR WELLNESS CENTRE	135 LAGON DrIVE	Clinics: Class B	KARIBA	09/30/2024	
P01-P1865-2024	IRIS PHARMACY	PATRIPHARM INVESTMENTS (PVT) LTD	NEW COMPLEX	Pharmacy in any other location	GOROMONZI	02/28/2025	
P01-P1465-2024	IRIS PHARMACY	PATRIPHARM INVESTMENT (PVT) LTD	"9541 PAHWARINGIRA COMPLEX, WARREN PARK D"	Pharmacy in any other location	HARARE	10/31/2025	
I02-P0086-2023	ISABELLA MINE CLINIC	GAT INVESTMENTS (PVT) LTD	ISABELLA MINE	Clinics: Class B	BULAWAYO	09/30/2024	
I02-P0197-2023	ISLAND HOSPICE & HEALTHCARE CLINIC	ISLAND HOSPICE & HEALTHCARE	"6 NATAL ROAD, BELGRAVIA"	Clinics: Class B	HARARE	09/30/2024	
P01-P1782-2024	J. R. MART PHARMACY	LANGSON LEGACY PBC	SHOP 3 10131 FRASERTON BUS CENTRE WHITECLIFF	Pharmacy in any other location	ZVIMBA	11/30/2025	
P01-P1951-2024	JERERA PHARMACY	PARSNIP INVESTMENTS (PVT) LTD	"STAND NO 206, JERERA"	Pharmacy in any other location	ZAKA	02/28/2025	
I02-P0173-2023	JERSEY ESTATE CLINIC	TANGANDA TEA COMPANY	JERSEY ESTATE	Clinics: Class B	CHIPINGE	09/30/2024	
I02-P0219-2024	JESSIE MINE WEST NICHOLSON	F.A. STEWART (PVT) LTD	JESSIE MINE L6	Clinics: Class B	WEST NICHOLSON	09/30/2024	
W01-P0209-2024	JOGMART PHARMACEUTICALS	JOGMART PHARMACEUTICALS PVT LTD	20-22 GLASGOW ROAD	Wholesalers	MUTARE	03/31/2025	
P01-P1837-2024	JOINT PHARMACY	VIBZO ENTERPRISES (PVT) LTD	607 TURNER ROAD	Pharmacy in any other location	ZVISHAVANE	03/31/2025	
P01-P1836-2024	JOINT PHARMACY	VIBZO ENTERPRISES (PVT) LTD	462 HOSPITAL RD	Pharmacy in any other location	SHURUGWI	03/31/2025	
P01-P1677-2024	JOINT PHARMACY	VIBZO ENTERPRISES (PVT) LTD	16 GEORGE AVENUE	Pharmacy in any other location	CHEGUTU	12/31/2025	
P01-P1650-2024	JOINT PHARMACY	VIBZO ENTERPRISES (PVT) LTD	3915 IMPALI SOURCE	Pharmacy in any other location	SHURUGWI	07/31/2025	
P01-P1640-2024	JORDAN PHARMACY	JORDAN PHARMACY (PVT) LTD	STAND 11643 DZIVARASEKWA 2	Pharmacy in any other location	HARARE	02/28/2025	
I02-P0213-2024	JOSHUA MQABUKO NKOMO POLYTECHNIC CLINIC	JOSHUA MQABUKO NKOMO POLYTECHNIC	BEITBRIDGE ROAD	Clinics: Class B	GWANDA	09/30/2025	
P01-P1905-2024	JOY PHARMACY	WINLIFE (PVT) LTD	1237 LIGHT INDUSTRIAL SITE MANDAVA	Pharmacy in any other location	ZVISHAVANE	08/31/2025	
P01-P1523-2024	JOY PHARMACY	WINLIFE (PVT) LTD	82 R MUGABE WAY	Pharmacy in any other location	ZVISHAVANE	03/31/2025	
P05-P1387-2024	JOY PHARMACY	WINLIFE (PVT) LTD	54 JASON MOYO/4TH AVE	Pharmacy located in the CBD	BULAWAYO	02/28/2025	
P01-P1981-2024	JOYFUL HEART PHARMACY	JOYFUL HEART PHARMACY (PVT) LTD	58 GEORGE SILUNDIKA AND FOURTH STREET	Pharmacy in any other location	HARARE	04/30/2025	
P01-P1234-2024	JP PHARMACY	FAREME PHARMACEUTICALS (PVT) LTD	290 MBERENGWA BUSS CENTRE	Pharmacy in any other location	MBERENGWA	04/30/2025	
P06-P1802-2024	JUNCTION PHARMACY - RUSHINGA	YOPAT INVESTMENTS (PVT) LTD	"1285 DHEWA COMPLEX, RUSHINGA S/CENTRE"	Pharmacy in rural area	RUSHINGA	02/28/2025	
P01-P1644-2024	JUSTIN SMITH PHARMACY	JUSTIN SMITH PHARMACY (PVT) LTD	82 L TAKAWIRA AVENUE	Pharmacy in any other location	BULAWAYO	08/31/2025	
I02-P0093-2023	KADOMA PAPER MILLS	ART CORPORATION LIMITED	STAND NO 1067 OWL MINE ROAD	Clinics: Class B	KADOMA	09/30/2024	
P01-P1649-2024	KAFLATE PHARMACY	KAFLATE INVESTMENTS (PVT) LTD	"93 JASON MOYO AVE, TRAVEL CENTRE"	Pharmacy in any other location	HARARE	03/31/2025	
P06-P1513-2024	KAFLATE PHARMACY	KAFLATE INVESTMENTS (PVT) LTD	5 OLD MUTUAL COMPLEX TURF MHONDORO	Pharmacy in rural area	NGEZI	05/31/2025	
P01-P1928-2024	KAIDEN PHARMACY	KAIDEN HEALTHCARE (PVT) LTD	3768 CROWBOROUGH	Pharmacy in any other location	HARARE	02/28/2025	
P05-P1228-2024	KAIZEN PHARMACY	KAIZEN PHARMACY (PVT) LTD	"SHOP 2 OLYMPIC ARCADE, 34 TEMBWE ST"	Pharmacy in any other location	MUTARE	02/28/2025	
P01-P1901-2024	KAMFINSA PHARMACY	KARIBA PHARMACY (PVT) LTD	"7 ATHLONE SHOPPING CENTRE, GREENDALE"	Pharmacy in any other location	HARARE	02/28/2025	
I03-P0129-2023	KANGO PRODUCTS CLINIC	KANGO PRODUCTS (PVT) LTD	NEWPORT STR/PLUMTREE ROAD	Clinics: Class C	BULAWAYO	09/30/2024	
I02-P0083-2023	KARIBA SOUTH POWER STATION CLINIC	ZIMBABWE POWER COMPANY - KARIBA	1 SABLE DrIVE	Clinics: Class B	KARIBA	09/30/2024	
P06-P0898-2024	KATMED PHARMACY	CHIKOROWONDO HEALTHCARE (PVT) LTD	254 CLOETE STREET	Pharmacy in rural area	CHIVHU	10/31/2025	
P01-P1748-2024	KAYDEN PHARMACY	HOTJAM PHARMACY (PVT) LTD	"NO 1826 OLD MARIMBA, MUPANI ROAD, MARIMBA"	Pharmacy in any other location	HARARE	12/31/2025	
W01-P0174-2024	KDB HEALTHCARE	KDB HEALTHCARE (PVT) LTD	53 COVENTRY ROAD	Wholesalers	HARARE	03/31/2025	
P01-P1969-2024	KENLINK AVICENNA PHARMACY	TAYVALE INVESTMENTS (PVT) LTD	"127 BORROWDALE RD, GUNHILL"	Pharmacy in any other location	HARARE	04/30/2025	
P01-P1279-2024	KENLINK BORROWDALE PHARMACY	TAYVALE INVESTMENTS (PVT) LTD	SHOP 1 SAM LEVY TOWERS	Pharmacy in any other location	HARARE	12/31/2025	
P01-P1870-2024	KENLINK GREENDALE PHARMACY	TAYVALE INVESTMENTS (PVT) LTD	"377-119 CORONATION AVE, SHOP NO 8 GREENDALE"	Pharmacy in any other location	HARARE	04/30/2025	
P05-P1642-2024	KENLINK JOINA CENTRE PHARMACY	VANLOG ENTERPRISES (PVT) LTD	SHOP U07 JOINA CENTRE	Pharmacy located in the CBD	HARARE	07/31/2025	
P01-P1433-2024	KENLINK KENSINGTON PHARMACY	TAYVALE INVESTMENTS	13 KENSINGTON CENTRE	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1452-2024	KENLINK THE BRIDGE PHARMACY	SUMMERDrIFT INVESTMENTS (PVT) LTD	SHOP 10 GROOMBRIDGE SHOPPING CENTRE	Pharmacy in any other location	HARARE	05/31/2025	
I03-P0075-2023	KERSHELMAR DAIRIES CLINIC	KERSHELMAR DAIRIES (PVT) LTD	"CNR LIVERPOOL/COLCHESTER RDS, BELMONT"	Clinics: Class C	BULAWAYO	09/30/2024	
P01-P1499-2024	KING GEORGE PHARMACY	AFROW HOLDINGS (PVT) LTD	"32 CORK ROAD, BELGRAVIA"	Pharmacy in any other location	HARARE	07/31/2025	
P05-P1570-2024	KINGS PHARMACY	KINGS PHARMACY	21 9TH AVENUE/ JASON MOYO	Pharmacy located in the CBD	BULAWAYO	02/28/2025	
P05-P1335-2024	KINGS PHARMACY	SIMPARTICAS ENTERPRISES (PVT) LTD	23 6TH AVENUE/ JM NKOMO	Pharmacy located in the CBD	BULAWAYO	04/30/2025	
P05-P1652-2024	KINGS PHARMACY- HERBERT CHITEPO	SIMPARTICALS ENTERPRISES (PVT) LTD	"2 FRAMPTON HOUSE, 79 HERBERT CHITEPO/6TH AVENUE"	Pharmacy located in the CBD	BULAWAYO	09/30/2025	
P06-P1780-2024	KOTWA PHARMACY	REACHOUT PHARMACIES (PVT) LTD	STD 2132 KOTWA GROWTH POINT	Pharmacy in rural area	MUDZI	10/31/2025	
P05-P1375-2024	KUDZANAI PHARMACY	SANTE MED (PVT) LTD	SHOP 68 THIRD STREET	Pharmacy located in the CBD	GWERU	12/31/2025	
P01-P1645-2024	KUPONA PHARMACY	KUPONAH INVESTMENTS (PVT) LTD	19 SEKE RD HATFIELD	Pharmacy in any other location	HARARE	05/31/2025	
P01-P1596-2024	KUTENDA PHARMACY	KUTENDA PHARMACY (PVT) LTD	"14970 SARUDZAI SHOPPING CENTRE , RIMUKA"	Pharmacy in any other location	KADOMA	07/31/2025	
P01-P1672-2024	KUTENDA PHARMACY	KUTENDA PHARMACY (PVT) LTD	6724 MUPAMOMBE ROAD	Pharmacy in any other location	KADOMA	02/28/2025	
I03-P0185-2023	KUTSAGA RESEARCH STATION CLINIC	TOBACCO RESEARCH BOARD	AIRPORT RING ROAD	Clinics: Class C	HARARE	09/30/2024	
P01-P1474-2024	KUWADZANA PHARMACY	KUWADZANA PHARMACY (PVT) LTD	KUWADZANA 5 S/CENTRE	Pharmacy in any other location	HARARE	08/31/2025	
P01-P1142-2024	L C PHARMACY	L C PHARMACY (PVT) LTD	"SHOP 17, MARKET CENTRE, R. G. MUGABE ST"	Pharmacy in any other location	MASVINGO	01/31/2025	
P01-P2016-2024	LACTUS PHARMACY	LACTUS PHARMACEUTICALS (PVT) LTD	139 KOTWA GROWTH POINT	Pharmacy in any other location	MUDZI	02/28/2025	
P06-P1559-2024	LARANOK PHARMACEUTICALS	LARANOK PHARMACEUTICALS (PVT) LTD	537 NEMAMWA GROWTH POINT	Pharmacy in rural area	MASVINGO	10/31/2025	
P05-P1687-2024	LEE CARE PHARMACY	LEE CARE (PVT) LTD	920 CAMEROON SQUARE	Pharmacy located in the CBD	KADOMA	12/31/2025	
P01-P1927-2024	LEE-RAY PHARMACY	NOENETTE ENTERPRISES (PVT) LTD	"SHOP 6, 4413 KUSHANDA CRESCENT"	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1184-2024	LEES PHARMACY	SWAN MEDICAL SUPPLIERS (PVT) LTD	"SHOP NO 23 419 MALVERN SHOPS, WATERFALLS"	Pharmacy in any other location	HARARE	07/31/2025	
P01-P1470-2024	LEGACY PHARMACY	ONELEGACY INVESTMENTS PVT LTD	"STAND 36, SHOP 1, SOUTHLEA PARK"	Pharmacy in any other location	HARARE	12/31/2025	
P01-P1357-2024	LEGEND PHARMACY MARONDERA	LEGEND PHARMACEUTICALS (PVT) LTD	199A MAINSTREET RD	Pharmacy in any other location	MARONDERA	12/31/2025	
P01-P1358-2024	LEGEND PHARMACY MILTON PARK	LEGEND PHARMACY MILTON PARK	102 PRINCE EDWARD RD	Pharmacy in any other location	HARARE	06/30/2025	
P01-P1174-2024	LEMONS PHARMACY	NELGADO INVESTMENTS (PVT) LTD	"SHOP 4 SAMMAR GALLERY, AVONDALE"	Pharmacy in any other location	HARARE	12/31/2025	
P01-P1284-2024	LENAP PHARMACIES	LENAP TRADING (PVT) LTD	4950 15 JULIUS NYERERE WAY	Pharmacy in any other location	HARARE	02/28/2025	
W01-P0172-2024	LEVCHEM PHARMACEUTICAL	LEVCHEM PHARMACEUTICAL (PVT) LTD	STAND 12918 UNIT 20 MADOKERO ESTATE	Wholesalers	HARARE	03/31/2025	
P01-P1616-2024	LIFE PHARMACY	LIFE PARMACY (PVT) LTD	7743 10 STURHARDT PLACE	Pharmacy in any other location	HARARE	08/31/2025	
P01-P1459-2024	LIFECARE 24 PHARMACY	LEEMINEX (PVT) LTD	1074 MASOTSHA NDLOVU/6TH AVE PARKTOWN	Pharmacy in any other location	HARARE	11/30/2025	
P01-P1270-2024	LIFECARE PHARMACY	LIFECARE PHAMACY (PVT) LTD	SHOP 12 R. MUGABE STREET	Pharmacy in any other location	RUSAPE	07/31/2025	
P01-P1255-2024	LIFECARE PHARMACY - EVERGREEN	LIFECARE (PVT) LTD	SHOP 37/3 NYANGA ROAD	Pharmacy in any other location	RUSAPE	12/31/2025	
P01-P1344-2024	LIFECARE PHARMACY - TM	LIFECARE (PVT) LTD	STAND 22/23 ROBERT MUGABE STREET	Pharmacy in any other location	RUSAPE	10/31/2025	
P01-P1247-2024	LIFECHECK PHARMACY	KABUDURA GASHIRAI PBC	3573 CNR PATRENDA WAY/WILLOWVALE	Pharmacy in any other location	HARARE	02/28/2025	
P01-P2009-2024	LIFEMED PHARMACY	HEALTH EXPRESS (PVT) LTD	STAND 221 HAKATA COMPLEX	Pharmacy in any other location	MUREHWA	02/28/2025	
P01-P1498-2024	LIFEPLUS PHARMACY	TRYSOPEC SUPPLIES (PVT) LTD	Q36 SMES	Pharmacy in any other location	GLENDALE	06/30/2025	
P01-P1143-2024	LIFESTYLE PHARMACY	DMs PHARMACEUTICALS (PVT) LTD	SHOP 1 ST ANDrEW PLACE BRADFIELD	Pharmacy in any other location	BULAWAYO	09/30/2025	
P05-P1505-2024	LIME 6TH AVENUE PHARMACY	BEYOND HEALTH PBC	33 6TH AVE	Pharmacy located in the CBD	BULAWAYO	02/28/2025	
P01-P1456-2024	LINK PHARMACY - CHADCOMBE	MELUVO INVESTMENTS (PVT) LTD	"SHOP 6 24A CLOVERY RD, CHADCOMBE"	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1723-2024	LINK PHARMACY - QUEENSDALE	MELUVO INVESTMENTS (PVT) LTD	"SHOP 2 SHAFTBURY AVE, QUEENSDALE"	Pharmacy in any other location	HARARE	05/31/2025	
I02-P0076-2023	LOBELS BISCUITS	LOBELS BISCUITS (PVT) LTD	"STD 5179, CNR BIRMINGHAM/LUTON RDS"	Clinics: Class B	BULAWAYO	09/30/2024	
P01-P0361-2023	LOCANEY PHARMACY	LOCANEY (PVT) LTD	377 MAIN STREET	Pharmacy in any other location	CHIVHU	02/28/2025	
P05-P1431-2024	LOMAGUNDI PHARMACY	JOHN MATUKUTIRE	11 MAGAMBA WAY	Pharmacy located in the CBD	CHINHOYI	05/31/2025	
P01-P1469-2024	LORDS LAND PHARMACY	THEON PHARMACEUTICALS (PVT)LTD	584 PRINCE STREET	Pharmacy in any other location	ZVISHAVANE	11/30/2025	
I02-P0187-2023	LOSPEN FARM CLINIC	SOLAR FARMING (PVT) LTD	"23KM PEG LOMAGUNDI RD, STAPLEFORD"	Clinics: Class B	HARARE	09/30/2024	
P01-P1301-2024	LOT 4 PHARMACY	CHINDA PHARMACY (PVT) LTD	3879 MANDAVA TOWNSHIP	Pharmacy in any other location	ZVISHAVANE	09/30/2025	
P01-P1933-2024	LOVELET C. PHARMACY	LOVELET INVESTMENTS (PVT) LTD	21794 UNIT C SEKE	Pharmacy in any other location	CHITUNGWIZA	03/31/2025	
W01-P0192-2024	LUCREA PHARMACEUTICALS	LUCREA PHARMACEUTICALS (PVT) LTD	1 COLENBRANDER AVENUE MILTON PARK	Wholesalers	HARARE	06/30/2025	
P01-P1983-2024	LULU PHARMACY	LULU PHARMACY (PVT) LTD	342 ENGINEERING	Pharmacy in any other location	HARARE	04/30/2025	
D01-P0012-2023	LUPANE PRIVATE MEDICAL CENTRE	MUTIZIRA GEORGE (Dr)	STAND NO.113	Dispensing medical practice	LUPANE	06/30/2024	
H01-P0020-2024	LUVEVE PRIVATE CLINIC PHARMACY	VERONICARE HEALTH (PVT) LTD	9826 LUVEVE 4	Hospital pharmacies	BULAWAYO	02/28/2025	
P06-P1248-2024	LYDISH PHARMACY	LYDISH PHARMACEUTICALS PBC	283 MUROMBEDZI G/POINT	Pharmacy in rural area	MUROMBEDZI	06/30/2025	
P01-P1589-2024	LYNFIELD PHARMACIES	LYNFIELD PHARMACEUTICALS (PVT) LTD	NO. 25 HERBERT CHITEPO STREET	Pharmacy in any other location	MUTARE	02/28/2025	
I02-P0122-2023	LYTTON TOBACCO CLINIC	LYTTON TOBACCO CO.(PVT) LTD	"1 FOUNDrY ROAD, ASPINDALE"	Clinics: Class C	HARARE	09/30/2024	
P05-P1168-2024	M & M FRIENDLY CARE PHARMACY	SIDEDECK ENTERPRISES (PVT) LTD	53 H. CHITEPO BTWN 3RD & 4TH AVE	Pharmacy located in the CBD	BULAWAYO	02/28/2025	
P01-P1939-2024	M L PHARMACY	THAINSHARK INVESTMENTS PVT LTD	106 NELSON MANDELA AVENUE	Pharmacy in any other location	HARARE	10/31/2025	
P01-P2030-2024	MABVAZUVA PHARMACY	HOPEWELL PHARMACY (PVT) LTD	2482 MABVAZUVA SHOPPING CENTER	Pharmacy in any other location	RUSAPE	02/28/2025	
P01-P1141-2024	MABVUKU PHARMACY	MUJAY ENTERPRISES (PVT) LTD	"STAND 100, MURAPA BUILDING"	Pharmacy in any other location	HARARE	06/30/2025	
P01-P1286-2024	MACHEKE PHARMACY	MEDVELD (PVT) LTD	83 LOOP ROAD	Pharmacy in any other location	MACHEKE	02/28/2025	
P01-P1277-2024	MADZIWA PHARMACY	TSOAN INVESTMENTS (PVT) LTD	STAND NO 111	Pharmacy in any other location	SHAMVA	08/31/2025	
P01-P1427-2024	MAGABA PHARMACY	NATMED PVT LTD	3893 RODDEN STREET	Pharmacy in any other location	HARARE	05/31/2025	
P01-P1274-2024	MAGUNJE PHARMACY	MHONGWA KUNDAI	STD NO. 265 MAGUNJE T/SHIP	Pharmacy in any other location	MAGUNJE	04/30/2025	
D01-P0034-2023	MAHATSHULA MEDICAL CENTRE	DEEP EXPLO INVESTMENTS (PVT) LTD	496 MAHATSHULA NORTH	Dispensing medical practice	BULAWAYO	06/30/2024	
